concept,gloss
cofać się,cofać się ; iść do tyłu; wycofać się
cukierek,cukierek
cukierki,cukierki
cyfra 0,zero; cyfra 0
cytryna,cytryna
czapka,czapka
czapka z daszkiem,czapka z daszkiem
czarny,czarny
czas,czas
czas minął,czas minął
czechy,Czechy
czekać,czekać
czekolada,czekolada
czerwiec,czerwiec
czerwony,czerwony
cześć,cześć
czołg,czołg
czterdzieści,czterdzieści
czterdzieści złotych,czterdzieści złotych
czternaście złotych,czternaście złotych
cztery,cztery
cztery dni,cztery dni
cztery godziny,cztery godziny
cztery lata,cztery lata
cztery lata temu,cztery lata temu
cztery miesiące,cztery miesiące
cztery tygodnie,cztery tygodnie
cztery tygodnie temu,cztery tygodnie temu
cztery tysiące,cztery tysiące
cztery złote,cztery złote
czterysta,czterysta
czuć,czuć
czuć się źle,czuć się źle
czwarta godzina,czwarta godzina
czwarte miejsce,czwarte miejsce
czwarte piętro,czwarte piętro
czwartek,czwartek
czwarty,czwarty
czworo,czworo; czterech; cztery
czwórka,czwórka
czy,czy
czysty,czysty
czytać,czytać
często,często
człowiek,człowiek
córka,córka
dalej,dalej
daleko,daleko
dania,Dania
data,data
dawno,dawno
dawno temu,dawno temu
dać,dać; dawać
dać radę,dać radę
dbać,dbać
decyzja,decyzja
dekagram,dekagram
delegacja,delegacja
delfin,delfin
demokracja,demokracja
denerwować,denerwować
denerwować się,denerwować się
dentysta,dentysta
deskorolka,deskorolka
dla,dla
dlaczego,dlaczego; czemu
do rana,do rana
do skutku,do skutku
do widzenia,do widzenia
doba,doba
dobranoc,dobranoc
dobry,dobry
dobrze czy źle,dobrze czy źle
dodać,dodać; dołączyć
dojechać,dojechać; dojeżdżać; dotrzeć
dojeżdżać,dojeżdżać
dokuczać,dokuczać
dokładny,dokładny
dom,dom
dorosły,dorosły
dostrzec,dostrzec
dotykać,dotykać
dowód osobisty,dowód osobisty
dowódca,szef; dowódca
dołączyć,dołączyć
doświadczenie,doświadczenie
dość,dość; dosyć
drabina,drabina
dres,dres
droga,droga
drogi,drogi
druga godzina,druga godzina
druga klasa,druga klasa
drugi,drugi
drugie miejsce,drugie miejsce
drugie piętro,drugie piętro
drukarnia,drukarnia
drukować,drukować
drut,drut
drzewo,drzewo
drzwi,drzwi
dublin,Dublin
duch,duch
dumny,dumny
dupa,dupa
dużo,dużo
duży,duży
dwa,dwa
dwa dni,dwa dni
dwa kilogramy,dwa kilogramy
dwa lata,dwa lata
dwa lata temu,dwa lata temu
dwa miesiące,dwa miesiące
dwa razy,dwa razy; dwakroć
dwa tygodnie,dwa tygodnie
dwa tygodnie temu,dwa tygodnie temu
dwa tysiące,dwa tysiące
dwa złote,dwa złote
dwadzieścia,dwadzieścia
dwadzieścia złotych,dwadzieścia złotych
dwanaście,dwanaście
dwanaście złotych,dwanaście złotych
dwie godziny,dwie godziny
dwieście,dwieście
dwoje,dwoje; dwóch; dwie
dwójka,dwójka
dym,dym
dyscyplinować,dyscyplinować
dyskutować,dyskutować
dywan,dywan
dyżurny,dyżurny
dziadek,dziadek
działać,działać
działka,działka
dzieci,dzieci
dziecko,dziecko
dziennikarz,dziennikarz
dziesięć,dziesięć
dziesięć kilogramów,dziesięć kilogramów
dziesięć lat,dziesięć lat
dziesięć tysięcy,dziesięć tysięcy
dziesięć złotych,dziesięć złotych
dziewiąta godzina,dziewiąta godzina
dziewiąte piętro,dziewiąte piętro
dziewiąty,dziewiąty
dziewięcioro,dziewięcioro
dziewiętnaście,dziewiętnaście
dziewiętnaście złotych,dziewiętnaście złotych
dziewięć,dziewięć
dziewięć dni,dziewięć dni
dziewięć godzin,dziewięć godzin
dziewięć kilogramów,dziewięć kilogramów
dziewięć lat,dziewięć lat
dziewięć lat temu,dziewięć lat temu
dziewięć miesięcy,dziewięć miesięcy
dziewięć tygodni,dziewięć tygodni
dziewięć tygodni temu,dziewięć tygodni temu
dziewięć złotych,dziewięć złotych
dziewięćdziesiąt złotych,dziewięćdziesiąt złotych
dziewięćset,dziewięćset
dzień,dzień
dzień dobry,dzień dobry
dzień i noc,cały czas; dzień i noc
dzik,dzik
dziura,dziura
dziwny,dziwny
dzięki,dzięki
dziękować,dziękować
dzwonek,dzwonek
dzwonić,dzwonić
dług,dług
długi,długi
długo,długo
długo cię nie widziałem,długo nie było; długo cię nie widziałem
długo nie było,długo nie było
długoletni,długoletni
długopis,długopis
dźwięk,dźwięk
dżem,dżem
e-mail,e-mail
egipt,Egipt
egoista,egoista
egzamin,egzamin
ekspresowo,ekspresowo
elegancki,elegancki
emerytura,emerytura
emocje,emocje
euro,euro
fabryka,fabryka
facebook,facebook
fachowiec,fachowiec
fajny,fajny
faks,faks
fakt,fakt
fartuch,fartuch
federacja,federacja
filet,filet
film,film
finał,finał
fioletowy,fioletowy
firanka,firanka
fizyka,fizyka
flaga,flaga
flet,flet
folia,folia
fontanna,fontanna
formatować,formatować
fotografia,zdjęcie; fotografia
francja,Francja
fryzjer,fryzjer
gadać,gadać
gadu gadu,Gadu Gadu
gapa,gapa
gapić się,gapić się
gardło,gardło
garnek,garnek
gazeta,gazeta
gdańsk,Gdańsk
gdy,gdy; gdyby
gdzie,gdzie
geniusz,geniusz
gimnazjum,gimnazjum
ginekolog,ginekolog
gniazdko elektryczne,gniazdko elektryczne
godzina,godzina
golf,golf
gonić,gonić
gorzej,gorzej
gorzki,gorzki
gorący,gorący
gospodarz,gospodarz
gotować,gotować
gotowy,gotowy
gołąb,gołąb
gość,gość
grafika,grafika
gramatyka,gramatyka
granica,granica
grać,grać
grać w bowling,grać w bowling; grać w kręgle
grecja,Grecja
grill,grill
groch,groch
gruby,gruby; otyły
grudzień,grudzień
grupa,grupa
grupa inwalidzka,grupa inwalidzka
gruszka,gruszka
gryźć,gryźć
grzebać,grzebać; kopać
grzeczny,grzeczny; kulturalny
grzyb,grzyb
grób,grób
guma,guma
guma do żucia,guma do żucia
guzik,guzik
góry,góry
głodny,głodny
głos,głos
głowa,głowa
głuchnąć,głuchnąć; tracić słuch
głuchy,głuchy
głupota,głupota
głęboki,głęboki
hak,hak
hamburg,Hamburg
hamburger,hamburger
hamować,hamować
handel,handel
harcerstwo,harcerstwo
hałas,hałas
helikopter,helikopter
hetero,hetero; heterosekualny
hipopotam,hipopotam
historia,historia
hiszpania,Hiszpania
hobby,hobby; pasja
holandia,Holandia
holować,holować
hotel,hotel
hurtownia,hurtownia
huśtawka,huśtawka
idź,idź; odejdź; spadaj; won
igła,igła
imieniny,imieniny
imię,imię
implant ślimakowy,implant ślimakowy
impreza,impreza
improwizować,improwizować
indeks,indeks
indie,Indie
indyk,indyk
inny,inny
inteligencja,inteligencja
internat,internat
internet,Internet
inwalida,inwalida
irlandia,Irlandia
izrael,Izrael
iść,iść
iść pod czymś,iść pod czymś
iść w szeregu,iść w szeregu
ja,ja
jabłko,jabłko
jagiellonia białystok,Jagiellonia Białystok
jajko,jajko
jak,jak
japonia,Japonia
jasny,jasny
jeden,jeden
jeden dzień,jeden dzień
jeden kilogram,jeden kilogram
jeden miesiąc,miesiąc; jeden miesiąc
jedenaście,jedenaście
jedenaście złotych,jedenaście złotych
jedna godzina,jedna godzina
jedynka,jedynka
jedzenie,jedzenie
jeleń,jeleń
jesień,jesień
jest,jest
jeszcze,jeszcze
jeść,jeść
jeździć,jeździć
jeździć na nartach,jeździć na nartach
jeżeli,jeżeli; jeśli
joga,joga
judaizm,judaizm
jugosławia,Jugosławia
jutro,jutro
język,język
kaczka,kaczka
kajak,kajak
kalkulator,kalkulator
kamera,kamera
kanada,Kanada
kanapa,kanapa
kanapka,kanapka
kandydat,kandydat
kangur,kangur
kapelusz,kapelusz
kapusta,kapusta
kara,kara
karabin,karabin
karnawał,karnawał
kask,kask; hełm
katolicyzm,katolicyzm
katowice,Katowice
kawa,kawa
kawaler,kawaler
kawał,kawał
kazachstan,Kazachstan
kazać,kazać
kał,kał; kupa
każdy,każdy
kelner,kelner
kibicować,kibicować
kiedy,kiedy
kierownik,kierownik
kierunek,kierunek
kieszeń,kieszeń
kiełbasa,kiełbasa
kijów,Kijów
kilka,kilka
kilogram,kilogram
kilometr,kilometr
kino,kino
klasa czwarta,klasa czwarta
klasa pierwsza,klasa pierwsza
klasa piąta,klasa piąta
klasa siódma,klasa siódma
klasa szósta,klasa szósta
klasa trzecia,klasa trzecia
klatka,klatka
klawiatura,klawiatura
klikać,klikać
klub,klub
klucz,klucz
klękać,klękać
kobieta,kobieta
kochanek,kochanek
kochać,kochać
kojarzyć,kojarzyć
kolacja,kolacja
kolega,kolega; koleżanka
kolonia,kolonia
kolor,kolor
kolumbia,Kolumbia
komiks,komiks
komisja,komisja
komplet,komplet
komputer,komputer
komunia,komunia
komunikacja,komunikacja
komunizm,komunizm
komórka,komórka
konferencja,konferencja
koniec,koniec
koniec szkoły,koniec szkoły
kontaktować,kontaktować; kontaktować się
konto bankowe,konto bankowe
kontrola,kontrola
kontroler,kontroler; konduktor
kopać,kopać
korek,korek
korytarz,korytarz
kosmetyka,kosmetyka
kosz,kosz
koszula,koszula
koszyk,kosz; koszyk
koszykówka,koszykówka
kot,kot
kotlet,kotlet
kotlet mielony,kotlet mielony
koza,koza
kołdra,kołdra
kończyć,kończyć
kościół,kościół
kość,kość
kran,kran
kratka,kratka
krawat,krawat
krawcowa,krawiec; krawcowa
krawiec,krawiec
kraść,kraść
kremowy,kremowy
kreślarz,kreślarz
kroić,kroić
krok,krok
kropka,kropka
krowa,krowa; byk
kryzys,kryzys
krzesło,krzesło
krzew,krzew; krzak
krzyczeć,krzyczeć; wołać
krzyczeć (na kogoś),krzyczeć (na kogoś)
krzyk,krzyk
krzywdzić,krzywdzić
królik,królik
krótki,krótki
kręcić się w głowie,kręcić się w głowie
krępujący,krępujący
ksiądz,ksiądz
książka,książka
księżyc,księżyc
kto,kto
który,który
kubek,kubek
kuchnia,kuchnia
kuleć,kuleć
kultura,kultura
kura,kura
kurz,kurz
kwas,kwas
kwiat,kwiat
kwiecień,kwiecień
kąpać się,kąpać się
kąt,kąt
kłamać,kłamać
kłopot,kłopot
kłócić się,kłócić się; sprzeczać się
las,las
laska,laska
lata,lata
lato,lato
lekarz,lekarz; doktor
lekceważyć,lekceważyć
lekcja,lekcja
lekki,lekki
leniwy,leniwy
lepiej,lepiej
lew,lew
lewy,lewy
leżeć,leżeć
liceum,liceum; gimnazjum
liczba,liczba
linia,linia
lipa,lipa; słabo
lipiec,lipiec
lis,lis
lista,lista
listopad,listopad
litr,litr
litwa,Litwa
lody,lody
logopeda,logopeda
londyn,Londyn
lornetka,lornetka
lotnisko,lotnisko
lub,albo; lub; czy
lubić,lubić
ludzie,ludzie; lud
lupa,lupa
lustro,lustro
luty,luty
lądować,lądować
mafia,mafia
magazyn,magazyn
magia,magia
maj,maj
majtki,majtki
makaron,makaron
malina,malina
malować,malować
malta,Malta
mam z tym straszny problem,mam z tym straszny problem
marchewka,marchewka
martwić się,martwić się
martwy,martwy; nieruchomy
marzec,marzec
marzyć,marzyć
maska,maska
maszyna,maszyna
matematyka,matematyka
materac,materac
materiał,materiał
matka,matka
matoł,matoł; kretyn
matura,matura
mało,mało
mały,mały
małżeństwo,małżeństwo
meble,meble
mechanik,mechanik
mecz,mecz; zawody
medal,medal
meksyk,Meksyk
mercedes,mercedes
meta,meta
metr,metr
metro,metro
miasto,miasto
miecz,miecz
miejsce,miejsce
mierzyć,mierzyć
miesiąc,miesiąc
mieszkać,mieszkać
mieć,mieć
mieć szczęście,na wszelki wypadek; mieć szczęście
migać,migać
mijać,mijać
mikołaj,mikołaj
mikrofalówka,mikrofalówka
mikrofon,mikrofon
mikser,mikser
milczeć,milczeć
milion,milion
mimika,mimika
minimalny,minimalny
ministerstwo,ministerstwo
minus,minus
minuta,minuta
miska,miska
miss,miss
mistrz,mistrz
mięso,mięso
miętowy,miętowy
miłość,miłość; zakochanie
mleko,mleko
mniej więcej,mniej więcej
mocny,mocny
moda,moda
modlić się,modlić się
mokry,mokry; wilgotny
moment,moment
montaż,montaż
most,most
motocykl,motocykl
motor,motor
może być,może być
możliwy,możliwy
można,można
mróz,mróz
msza,msza
mur,mur
musieć,musieć
muzeum,muzeum
muzułmanin,muzułmanin
muzyka,muzyka
myszka miki,Myszka Miki
myć ręce,myć ręce
myć twarz,myć twarz
myć zęby,myć zęby
myśleć,myśleć
mój,mój
mówić,mówić
mózg,mózg
mądry,mądry
mąka,mąka
mężczyzna,mężczyzna
młodszy,młodszy
młody,młody
młotek,młotek
na przykład,na przykład
na wszelki wypadek,na wszelki wypadek
nad,nad
nadal,nadal
nagle,nagle
nagrywanie filmu,nagrywanie filmu
naiwny,naiwny
najedzony,najedzony; syty
najlepszy,najlepszy
najwyższy,najwyższy
nalewać,nalewać
należeć (do czegoś),należeć (do czegoś)
namawiać,namawiać
namiot,namiot
napadać,napadać
napisy,napisy
napracować się,napracować się
naprawiać,naprawiać
naprzeciw,blisko; naprzeciw
narkotyk,narkotyk
narzeczony,narzeczony
narzekać,narzekać
następny,następny
naturalny,naturalny
natychmiast,natychmiast; od razu
nauczyciel,nauczyciel
nawyk,nawyk
nawzajem,nawzajem; wzajemnie
nazwa,nazwa; przydomek
naśladować,naśladować
nerwowy,nerwowy
nic,nic
nic nie robić,nic nie robić
niczego nie poczuć,niczego nie poczuć
nie,nie
nie bać,nie bać
nie boleć,nie boleć
nie było,nie było
nie będzie,nie będzie
nie chcieć,nie chcieć
nie dam się,nie chcieć; nie dam się; nie zrobię tego
nie dać,nie dać
nie lubić,nie lubić
nie mieć,nie mieć
nie można,nie można; nie móc
nie mysleć,nie mysleć; nie zastanawiać się
nie móc,nie móc; nie można
nie pamiętać,nie pamiętać
nie pasować,nie pasować
nie potrafić,nie potrafić; nie umieć
nie pozwalać,nie pozwalać; nie pozwolić
nie przyjmować,nie przyjmować
nie przyzwyczajać,nie przyzwyczajać
nie rozumieć,nie rozumieć
nie skończyć,nie skończyć
nie słuchać,lekceważyć; nie słuchać
nie słyszeć,nie słyszeć
nie udać,nie udać
nie udać się,nie udać się
nie usłyszeć,nie usłyszeć
nie używać,nie używać
nie wiadomo,nie wiadomo
nie widać,nie widać
nie widzieć,nie widzieć
nie wiedzieć,nie wiedzieć
nie wierzyć,nie wierzyć
nie wolno,nie wolno
nie zauważyć,nie zauważyć
nie zdążyć,nie zdążyć
nie znać,nie znać
nie żyć,nie żyć
niebezpieczny,niebezpieczny
niebieski,niebieski
niebo,niebo
niedawno,niedawno
niedosłyszący,niedosłyszący
niedziela,niedziela
niedźwiedź,niedźwiedź
niektóry,niektóry
niektórzy,niektóry; niektórzy; niektóre
nieletni,dzieci; nieletni
niemcy,Niemcy
niemożliwy,niemożliwy
nienormalny,nienormalny
niepewny,niepewny
niepodległość,niepodległość
nieporozumienie,nieporozumienie
niepotrzebny,niepotrzebny
nieprzyjemny,nieprzyjemny
nierówno,nierówno
niespodzianka,niespodzianka
niesprawiedliwość,niesprawiedliwość
niewarte uwagi,niewarte uwagi
nieważne,nieważne
niewola,niewola
niewygodny,niewygodny
niezdolny,niezdolny
nieść,nieść; przenieść
nieźle,nieźle
niski,mały; niski
nisko,nisko
niszczyć,niszczyć; szkodzić
niż,niż
noc,noc
normalny,normalny
norwegia,Norwegia
nos,nos
nosorożec,nosorożec
nowa zelandia,Nowa Zelandia
nowy,nowy
nowy sącz,Nowy Sącz
nszz,NSZZ
nuda,nuda
numer,numer
nóż,nóż
o boże!,o Boże!
obawiać,obawiać; obawiać się
obciąć,obciąć
obcy,obcy
obcęgi,obcęgi
obgadywać,obgadywać
obiad,obiad
obierać,obierać
oblewać,podlewać; oblewać
obojętny,obojętny
obok,obok
obowiązek,obowiązek
obraz,obraz
obrazić,obrazić; obrażać
obserwować,obserwować
obudzić,obudzić
ocena,stopień; ocena
ocet,ocet
oczywiście,oczywiście
odbierać,odbierać
odchudzać się,odchudzać się
odcinek,odcinek; kawałek
odciąć,obciąć; odciąć
oddychać,oddychać
oddział,oddział
odebrać,zabrać; odebrać
odessać,odessać; wyssać
odmowa,odmowa
odnieść sukces,odnieść sukces
odpoczynek,odpoczynek
odpoczywać,odpoczywać
odpowiadać,odpowiadać
odpowiedzialny,odpowiedzialny
odprowadzić,odprowadzić
odważny,odważny
odwiedzać,odwiedzać
odwołanie,odwołanie
odwrotny,odwrotny
oficjalny,oficjalny
ogień,ogień
oglądać,oglądać
ogon,ogon
ograniczony,ciemny; ograniczony
ogólnie,ogólnie
ojciec,ojciec; tata
ok,ok; O.K.
okazało się,okazało się
okazja,okazja
okno,okno
oko,oko
około,około
okres,okres
okropny,okropny
okulary,okulary
olecko,Olecko
oliwa,Oliwa
olsztyn,Olsztyn
opalać się,opalać się
operacja,operacja
opona,opona
opowiadać,opowiadać
oprócz,oprócz
opuścić,opuścić
opłacić się,opłacić się
organizacja,organizacja
organizm,organizm
orientować się,orientować się
oryginał,oryginał
orzech,orzech
orzeł,orzeł
osa,osa
osiem,osiem
osiem dni,osiem dni
osiem godzin,osiem godzin
osiem kilogramów,osiem kilogramów
osiem lat,osiem lat
osiem lat temu,osiem lat temu
osiem miesięcy,osiem miesięcy
osiem tygodni,osiem tygodni
osiem tygodni temu,osiem tygodni temu
osiem złotych,osiem złotych
osiemdziesiąt,osiemdziesiąt
osiemdziesiąt złotych,osiemdziesiąt złotych
osiemnaście złotych,osiemnaście złotych
osiemset,osiemset
osoba,osoba
osobno,osobno
ospa,ospa
ostatni,ostatni
ostrołęka,Ostrołęka
ostry,ostry
oszukać,kłamać; oszukać
otwierać,otwierać; otworzyć
otworzyć,otworzyć; otwierać
otworzyć książkę,otworzyć książkę
owca,owca; baran
ołówek,ołówek
ośmioro,ośmioro
oświęcim,Oświęcim
pada deszcz,pada deszcz
padać,padać
pająk,pająk
pakować,pakować
paliwo,paliwo
palić się,palić się
pamiętać,pamiętać
pan,pan
pani,pan; pani
panna,panna
papieros,papieros
papież,papież
papuga,papuga
para,para
parasol,parasol
paryż,Paryż
pasek,pasek
pasować,pasować
pasta do zębów,pasta do zębów
paznokieć,paznokieć
pałac,pałac
państwo,państwo
październik,październik
pech,pech
penis,penis; prącie
perfumy,perfumy
peugeot,Peugeot
pewność,pewność
pełny,pełny
piasek,piasek
piec,piec
pielęgniarka,pielęgniarka
pieniądze,pieniądze
piersi,piersi
pierwsza godzina,pierwsza godzina
pierwsza klasa,pierwsza klasa
pierwsze miejsce,pierwsze miejsce
pierwsze piętro,pierwsze piętro
pierwszy,pierwszy
pierwszy raz,pierwszy raz; po raz pierwszy
pierś,pierś
pies,pies
pieszo,pieszo
pilnie,pilnie
pilnować,pilnować
pilot,pilot
pingwin,pingwin
pirat,pirat
pisać,pisać
pismo,pismo
pistolet,pistolet
piwnica,piwnica
piwo,piwo
pizza,pizza
piąta godzina,piąta godzina
piąte miejsce,piąte miejsce
piąte piętro,piąte piętro
piątek,piątek
piątka,piątka
piąty,piąty
pić,pić
pięcioro,pięcioro; w piątkę
piękny,ładny; piękny; śliczny
piętnaście,piętnaście
piętro,piętro
pięć,pięć
pięć dni,pięć dni
pięć godzin,pięć godzin
pięć kilogramów,pięć kilogramów
pięć lat,pięć lat
pięć lat temu,pięć lat temu
pięć miesięcy,pięć miesięcy
pięć tygodni,pięć tygodni
pięć tygodni temu,pięć tygodni temu
pięć tysięcy,pięć tysięcy
pięć złotych,pięć złotych
pięćdziesiąt,pięćdziesiąt
pięćset,pięćset
piłka,piłka
piłować,piłować
piżama,piżama
plac trzech krzyży,Plac Trzech Krzyży
planować,planować
plastelina,plastelina
plastyka,plastyka
plecak,plecak
plecy,plecy
plotkować,plotkować
po,po
po co,po co
pobierać krew,pobierać krew
pochód,pochód
pociag,pociag
pociąg,pociąg
poczekać,poczekać
poczta,poczta
początek,początek
pod,pod
poddać się,poddać się
poderżnąć gardło,poderżnąć gardło
podgrzać,podgrzać
podkoszulek,podkoszulek
podlewać,podlewać
podobać,podobać
podobne,podobne
podpisać się,podpisać się
podrywać,podrywać
podróż,podróż
podwyżka,podwyżka
podwójnie silny,podwójnie silny; jeszcze mocniejszy
podwójny,podwójny; dwa razy tyle
podłoga,podłoga
pognieciony,pognieciony
pogotowie,pogotowie
pogrzeb,pogrzeb
pohamuj się,pohamuj się
pojazd na sygnale,pojazd na sygnale; pojazd uprzywilejowany
pojechać,pojechać
pokazać,pokazać
pokolenie,pokolenie
pokonać,pokonać
pokój,pokój
pole,pole
policja,policja
polska,Polska
pomarańcza,pomarańcza
pomału,pomału; powoli
pomidor,pomidor
pominąć,pominąć
pomnik,pomnik
pomylić,pomylić
pomysł,pomysł
poniedziałek,poniedziałek
popołudniu,popołudniu
popsuć,popsuć
portugalia,Portugalia
porwać,porwać
porządek,porządek
porównywać,porównywać
postawić,postawić
potakiwać,potakiwać
potem,potem
potrzebny,potrzebny
potrójny,potrójny
poważny,poważny
powiedzieć,powiedzieć
powinno,powinno
powoli,wolno; powoli
powtórzyć,powtórzyć; powtarzać
powód,powód; przyczyna
poznać,poznać
poznań,Poznań
pozwalać,pozwalać
połowa,połowa
połączyć,połączyć
pończochy,pończochy
poświęcić,poświęcić
pożar,pożar
pożegnać,pożegnać
pożyczać,pożyczać
praca,praca
pragnąć,pragnąć
pralka,pralka
prasować,prasować
prawda,prawda
prawdopodobnie,prawdopodobnie
prawy,prawy
prezent,prezent
prezes,prezes
problem,problem
proca,proca
procent,procent
profesor,nauczyciel; profesor
projekt,projekt
prokuratura,prokuratura
promocja,promocja
prosić,prosić
protestantyzm,protestantyzm
prowadzić,prowadzić
prysznic,prysznic
prywatny,prywatny
przebywać,przebywać
przecinek,przecinek
przeciw,przeciw
przed,przed; wcześniej
przedszkole,przedszkole
przedwczoraj,przedwczoraj
przedłużać się,czas minął; przedłużać się
przedłużyć czas,przedłużyć czas; przedłużać się
przeglądać,czytać; przeglądać
przegrać,przegrać
przejść koło nosa,przejść koło nosa; ominąć
przekonać,przekonać
przepis,przepis
przerwa,przerwa
przestań!,Przestań!
przestraszyć,przestraszyć
przestraszyć się,przestraszyć się
przesuwać,przesuwać
przeszkadzać,przeszkadzać
przewrócić się,upadać; przewrócić się
przewód,przewód; kabel
przez długi czas,przez długi czas; bardzo długo
przeziębienie,przeziębienie; grypa
prześwietlenie,prześwietlenie; zdjęcie rentgenowskie
przygotować,przygotować
przyjaciel,przyjaciel; przyjaciółka
przyjechać,wyjechać; przyjechać
przyjemny,przyjemny
przyjąć,przyjąć
przyjęcie,przyjęcie
przyjść,przyjść
przykleić,przykleić
przystanek,przystanek
przystojny,przystojny
przyszłość,przyszłość
przytulać,przytulać
przywoływać,wołać; przywoływać
przyznać się,przyznać się
przyzwyczajenie,przyzwyczajenie
prąd,prąd
prędko,prędko
prędkość,prędkość
psychologia,psychologia
pszczoła,pszczoła
ptak,ptak
pukać,pukać
punkt,punkt
pupa,pupa; tyłek
puste,pusty; puste
pusty,pusty
pytajnik,pytajnik
pytać,pytać
pójść,pójść; iść
pół,pół
później,później
późno,późno
płacić,płacić
płakać,płakać
płaszcz,płaszcz
płot,płot
płońsk,Płońsk
płukać,płukać
płyta,płyta; CD
pływać,pływać
radio,radio
radom,Radom
rajstopy,rajstopy
rak,rak
randka,randka
rano,rano
ratować,ratować
razem,razem; wspólnie
razem ze mną,razem ze mną
razy,razy
rdza,rdza
reakcja,reakcja
regał,regał
rejestrować,rejestrować
rekin,rekin
rekord,rekord
renta,renta
restauracja,restauracja
reszta,reszta
reumatyzm,reumatyzm
rewelacyjny,super; rewelacyjny
robić,robić
robot,robot
rodzina,rodzina
rodzić się,rodzić się
rok,rok
rok temu,rok temu
rolnictwo,rolnictwo
rosja,Rosja
rosnąć,rosnąć
rower,rower
rozbierać,rozbierać
rozbudzić się,rozbudzić się
rozdawać,rozdawać
rozgadać się,rozgadać się
rozkosz,rozkosz
rozlać,rozlać; wylać; wysypać
rozliczenie,rozliczenie
rozmawiać,rozmawiać
rozmowa,rozmowa
roztopić się,roztopić się; topić się
rozumieć,rozumieć
rozwijać,rozwijać
rozwijać się,rozwijać się
rozwód,rozwód
ruble,ruble
ruch,ruch
rura,rura
ruszać,ruszać
ryba,ryba
ryga,Ryga
ryzyko,ryzyko
ryż,ryż
rzadko,rzadko
rzecz,rzecz
rzeka,rzeka; rzeczka; potok
rzeszów,Rzeszów
rzucać,rzucać; wyrzucać
rzęsy,rzęsy
rób co chcesz,rób co chcesz
rów,rów
